Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Sandro Tonali,it ITA,MF,23,8,5,438,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,11,19,21,0.21,0.00,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,Matches,Newcastle United
Joe Willock,eng ENG,MF,23,9,5,419,4.7,1,0,1,1,0,0,0,0,0.8,0.8,0.6,1.4,16,17,26,0.21,0.00,0.21,0.21,0.21,0.17,0.12,0.30,0.17,0.30,Matches,Newcastle United
Loris Karius,de GER,GK,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle United
Matt Targett,eng ENG,DF,27,3,1,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,Newcastle United
Matt Ritchie,sct SCO,"FW,MF",33,13,0,128,1.4,1,0,1,1,0,0,1,0,1.0,1.0,0.0,1.0,5,8,13,0.70,0.00,0.70,0.70,0.70,0.68,0.00,0.68,0.68,0.68,Matches,Newcastle United
Ben Parkinson,eng ENG,FW,18,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle United
Paul Dummett,wls WAL,DF,31,5,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches,Newcastle United
Alex Murphy,ie IRL,"DF,FW",19,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle United
Joe White,eng ENG,MF,20,4,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle United
Amadou Diallo,eng ENG,MF,20,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle United
Michael Ndiweni,eng ENG,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Newcastle United
Mark Gillespie,eng ENG,GK,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle United
Travis Hearnes,no NOR,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle United
Javier Manquillo,es ESP,DF,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Newcastle United
Squad Total,,,27.2,38,418,3420,38.0,83,55,138,75,8,9,79,1,76.0,69.0,51.3,120.3,737,1557,1545,2.18,1.45,3.63,1.97,3.42,2.00,1.35,3.35,1.82,3.17,,Newcastle United
