Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Levi Laing,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,West Ham United
Callum Marshall,nir NIR,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,West Ham United
Lewis Orford,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,West Ham United
Oliver Scarles,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,West Ham United
Squad Total,,,28.3,38,418,3420,38.0,58,40,98,54,4,5,82,3,52.3,48.4,34.8,83.2,556,1207,1192,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19,,West Ham United
Opponent Total,,,26.1,38,418,3420,38.0,70,51,121,62,8,10,71,2,71.1,63.2,51.1,114.3,963,2015,2004,1.84,1.34,3.18,1.63,2.97,1.87,1.35,3.22,1.66,3.01,,West Ham United
Joachim Andersen,dk DEN,DF,27,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12,Matches,Crystal Palace
Tyrick Mitchell,eng ENG,"DF,MF",23,37,37,3204,35.6,2,3,5,2,0,0,6,0,1.6,1.6,2.8,4.4,32,94,159,0.06,0.08,0.14,0.06,0.14,0.04,0.08,0.12,0.04,0.12,Matches,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",31,35,30,2543,28.3,4,7,11,4,0,0,9,1,3.9,3.9,4.2,8.1,74,63,173,0.14,0.25,0.39,0.14,0.39,0.14,0.15,0.29,0.14,0.29,Matches,Crystal Palace
Jefferson Lerma,co COL,"MF,DF",28,28,27,2400,26.7,1,1,2,1,0,0,8,0,2.7,2.7,2.2,4.8,14,106,51,0.04,0.04,0.07,0.04,0.07,0.10,0.08,0.18,0.10,0.18,Matches,Crystal Palace
Jean-Philippe Mateta,fr FRA,FW,26,35,25,2282,25.4,16,5,21,14,2,2,3,0,10.9,9.4,3.1,12.5,29,25,135,0.63,0.20,0.83,0.55,0.75,0.43,0.12,0.56,0.37,0.49,Matches,Crystal Palace
Eberechi Eze,eng ENG,"MF,FW",25,27,24,2055,22.8,11,4,15,10,1,1,3,0,9.1,8.3,5.2,13.5,68,93,139,0.48,0.18,0.66,0.44,0.61,0.40,0.23,0.62,0.36,0.59,Matches,Crystal Palace
Chris Richards,us USA,"DF,MF",23,26,23,2094,23.3,1,1,2,1,0,0,3,0,0.6,0.6,0.4,1.0,1,43,1,0.04,0.04,0.09,0.04,0.09,0.03,0.02,0.04,0.03,0.04,Matches,Crystal Palace
Marc Guéhi,eng ENG,DF,23,25,23,2021,22.5,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,15,67,7,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.05,0.03,0.05,Matches,Crystal Palace
Joel Ward,eng ENG,DF,33,26,23,1980,22.0,0,1,1,0,0,0,4,0,0.9,0.9,0.2,1.1,16,66,14,0.00,0.05,0.05,0.00,0.05,0.04,0.01,0.05,0.04,0.05,Matches,Crystal Palace
Will Hughes,eng ENG,MF,28,30,23,1891,21.0,0,1,1,0,0,0,6,0,0.3,0.3,1.1,1.5,14,76,17,0.00,0.05,0.05,0.00,0.05,0.02,0.05,0.07,0.02,0.07,Matches,Crystal Palace
Sam Johnstone,eng ENG,GK,30,20,20,1796,20.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Dean Henderson,eng ENG,GK,26,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Odsonne Édouard,fr FRA,"FW,MF",25,30,17,1555,17.3,7,0,7,7,0,0,4,0,6.2,6.2,1.2,7.4,33,36,100,0.41,0.00,0.41,0.41,0.41,0.36,0.07,0.43,0.36,0.43,Matches,Crystal Palace
Jeffrey Schlupp,gh GHA,"FW,MF",30,29,17,1352,15.0,2,2,4,2,0,0,1,0,1.8,1.8,2.3,4.1,20,33,52,0.13,0.13,0.27,0.13,0.27,0.12,0.15,0.27,0.12,0.27,Matches,Crystal Palace
Daniel Muñoz,co COL,"DF,MF",27,16,16,1439,16.0,0,4,4,0,0,0,4,0,1.2,1.2,2.4,3.7,25,38,80,0.00,0.25,0.25,0.00,0.25,0.08,0.15,0.23,0.08,0.23,Matches,Crystal Palace
Adam Wharton,eng ENG,MF,19,16,15,1297,14.4,0,3,3,0,0,0,2,0,0.3,0.3,2.4,2.8,14,79,10,0.00,0.21,0.21,0.00,0.21,0.02,0.17,0.19,0.02,0.19,Matches,Crystal Palace
Nathaniel Clyne,eng ENG,DF,32,19,14,1338,14.9,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,10,33,18,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches,Crystal Palace
Michael Olise,fr FRA,"FW,MF",21,19,14,1275,14.2,10,6,16,9,1,1,0,0,5.5,4.7,5.8,10.5,68,78,134,0.71,0.42,1.13,0.64,1.06,0.39,0.41,0.80,0.33,0.74,Matches,Crystal Palace
Cheick Doucouré,ml MLI,MF,23,11,11,919,10.2,0,0,0,0,0,0,2,0,0.3,0.3,0.7,1.0,9,49,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.10,0.03,0.10,Matches,Crystal Palace
Jaïro Riedewald,nl NED,"MF,FW",26,9,2,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,10,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Crystal Palace
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Crystal Palace
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Crystal Palace
Matheus França,br BRA,"MF,FW",19,10,1,232,2.6,0,1,1,0,0,0,1,0,0.4,0.4,0.9,1.2,12,8,12,0.00,0.39,0.39,0.00,0.39,0.14,0.34,0.48,0.14,0.48,Matches,Crystal Palace
Naouirou Ahamada,fr FRA,"MF,FW",21,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0.0,0.5,19,25,20,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13,Matches,Crystal Palace
David Ozoh,eng ENG,"MF,DF",18,9,0,156,1.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Jesurun Rak Sakyi,eng ENG,"MF,FW",20,6,0,136,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,7,2,18,0.00,0.00,0.00,0.00,0.00,0.28,0.10,0.38,0.28,0.38,Matches,Crystal Palace
James Tomkins,eng ENG,DF,34,4,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Remi Matthews,eng ENG,GK,29,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Crystal Palace
Tayo Adaramola,ie IRL,"DF,MF",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Malcolm Ebiowei,eng ENG,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
John-Kymani Gordon,eng ENG,"FW,MF",20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Rob Holding,eng ENG,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Roshaun Mathurin,eng ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Ademola Ola-Adebomi,eng ENG,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Luke Plange,eng ENG,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Jadan Raymond,wls WAL,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Kaden Rodney,eng ENG,"DF,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Franco Umeh-Chibueze,ie IRL,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Joseph Whitworth,eng ENG,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal Palace
Squad Total,,,26.7,38,418,3420,38.0,56,43,99,52,4,4,73,2,48.6,45.4,38.7,84.1,506,1176,1161,1.47,1.13,2.61,1.37,2.50,1.28,1.02,2.30,1.20,2.21,,Crystal Palace
Opponent Total,,,26.3,38,418,3420,38.0,56,46,102,53,3,3,78,2,52.0,49.6,40.3,89.9,679,1713,1694,1.47,1.21,2.68,1.39,2.61,1.37,1.06,2.43,1.31,2.37,,Crystal Palace
Pascal Groß,de GER,"MF,DF",32,36,34,3114,34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180,0.12,0.29,0.40,0.09,0.38,0.19,0.24,0.42,0.16,0.40,Matches,Brighton and Hove Albion
Lewis Dunk,eng ENG,DF,31,33,33,2869,31.9,3,1,4,3,0,0,7,1,3.1,3.1,0.9,4.0,33,152,13,0.09,0.03,0.13,0.09,0.13,0.10,0.03,0.12,0.10,0.12,Matches,Brighton and Hove Albion
Jan Paul van Hecke,nl NED,DF,23,28,26,2369,26.3,0,0,0,0,0,0,4,0,1.2,1.2,0.9,2.1,25,147,7,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,Brighton and Hove Albion
Simon Adingra,ci CIV,FW,21,31,25,2222,24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8.0,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,Matches,Brighton and Hove Albion
Billy Gilmour,sct SCO,MF,22,30,24,2120,23.6,0,1,1,0,0,0,8,1,1.0,1.0,2.0,3.0,39,193,33,0.00,0.04,0.04,0.00,0.04,0.04,0.09,0.13,0.04,0.13,Matches,Brighton and Hove Albion
Bart Verbruggen,nl NED,GK,20,21,21,1890,21.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Brighton and Hove Albion
Danny Welbeck,eng ENG,"FW,MF",32,29,21,1693,18.8,5,1,6,5,0,0,4,0,5.3,5.3,1.7,7.0,32,44,100,0.27,0.05,0.32,0.27,0.32,0.28,0.09,0.37,0.28,0.37,Matches,Brighton and Hove Albion
João Pedro,br BRA,"FW,MF",21,31,19,2045,22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83,92,205,0.40,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51,Matches,Brighton and Hove Albion
Igor,br BRA,DF,25,24,17,1637,18.2,0,0,0,0,0,0,4,0,0.3,0.3,0.7,1.0,30,107,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05,Matches,Brighton and Hove Albion
Joël Veltman,nl NED,DF,31,27,17,1588,17.6,1,1,2,1,0,0,4,0,0.4,0.4,0.5,0.9,24,85,54,0.06,0.06,0.11,0.06,0.11,0.02,0.03,0.05,0.02,0.05,Matches,Brighton and Hove Albion
Jason Steele,eng ENG,GK,32,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Brighton and Hove Albion
Facundo Buonanotte,ar ARG,"FW,MF",18,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.20,0.07,0.26,0.20,0.26,0.16,0.12,0.28,0.16,0.28,Matches,Brighton and Hove Albion
Kaoru Mitoma,jp JPN,FW,26,19,15,1486,16.5,3,4,7,3,0,0,4,0,3.5,3.5,2.7,6.2,121,64,239,0.18,0.24,0.42,0.18,0.42,0.21,0.16,0.37,0.21,0.37,Matches,Brighton and Hove Albion
Evan Ferguson,ie IRL,FW,18,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.40,0.00,0.40,0.40,0.40,0.30,0.04,0.34,0.30,0.34,Matches,Brighton and Hove Albion
Carlos Baleba,cm CMR,MF,19,27,15,1325,14.7,0,0,0,0,0,0,7,0,0.8,0.8,0.3,1.1,19,50,9,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,Brighton and Hove Albion
Pervis Estupiñán,ec ECU,DF,25,19,15,1243,13.8,2,3,5,2,0,0,4,0,1.0,1.0,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32,Matches,Brighton and Hove Albion
Adam Webster,eng ENG,DF,28,15,13,1144,12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,16,80,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Matches,Brighton and Hove Albion
Adam Lallana,eng ENG,"MF,FW",35,25,13,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,9,39,55,0.00,0.11,0.11,0.00,0.11,0.09,0.18,0.27,0.09,0.27,Matches,Brighton and Hove Albion
James Milner,eng ENG,"DF,MF",37,15,11,773,8.6,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2.0,11,69,73,0.00,0.23,0.23,0.00,0.23,0.03,0.21,0.24,0.03,0.24,Matches,Brighton and Hove Albion
Tariq Lamptey,gh GHA,"DF,FW",22,19,10,914,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,39,17,64,0.00,0.30,0.30,0.00,0.30,0.04,0.12,0.16,0.04,0.16,Matches,Brighton and Hove Albion
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Brighton and Hove Albion
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Brighton and Hove Albion
Jack Hinshelwood,eng ENG,DF,18,12,8,869,9.7,3,0,3,3,0,0,1,0,1.9,1.9,0.7,2.5,16,19,38,0.31,0.00,0.31,0.31,0.31,0.19,0.07,0.26,0.19,0.26,Matches,Brighton and Hove Albion
Solly March,eng ENG,"FW,DF",29,7,7,554,6.2,3,1,4,3,0,0,1,0,2.0,2.0,1.0,2.9,14,24,44,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47,Matches,Brighton and Hove Albion
Jakub Moder,pl POL,"MF,DF",24,17,6,618,6.9,0,0,0,0,0,0,2,0,0.6,0.6,0.8,1.3,10,23,26,0.00,0.00,0.00,0.00,0.00,0.08,0.11,0.20,0.08,0.20,Matches,Brighton and Hove Albion
Mahmoud Dahoud,de GER,MF,27,9,6,452,5.0,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,4,11,6,0.00,0.20,0.20,0.00,0.20,0.04,0.18,0.22,0.04,0.22,Matches,Brighton and Hove Albion
Julio Enciso,py PAR,"MF,FW",19,12,5,475,5.3,0,2,2,0,0,0,2,0,1.4,1.4,1.7,3.2,28,21,29,0.00,0.38,0.38,0.00,0.38,0.27,0.32,0.59,0.27,0.59,Matches,Brighton and Hove Albion
Ansu Fati,es ESP,"MF,FW",20,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0.00,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,Matches,Brighton and Hove Albion
Valentín Barco,ar ARG,"DF,FW",19,6,3,307,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,14,20,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.13,0.05,0.13,Matches,Brighton and Hove Albion
Odeluga Offiah,eng ENG,DF,20,4,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,9,4,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Brighton and Hove Albion
Mark O'Mahony,ie IRL,FW,18,3,1,63,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches,Brighton and Hove Albion
Benicio Boaitey,eng ENG,"FW,DF",19,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.19,0.05,0.19,Matches,Brighton and Hove Albion
Steven Alzate,co COL,MF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Bigo Atom,de GER,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Luca Barrington,eng ENG,"FW,MF",18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Samy Chouchane,tn TUN,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Josh Duffus,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Ben Jackson,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Leigh Kavanagh,ie IRL,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Cameron Peupion,au AUS,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Imari Samuels,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion
Squad Total,,,25.9,38,418,3420,38.0,50,36,86,45,5,6,90,3,56.8,52.2,41.6,93.8,864,1780,1767,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47,,Brighton and Hove Albion
Opponent Total,,,26.3,38,418,3420,38.0,60,42,102,54,6,6,99,5,55.4,50.7,39.3,90.0,651,1175,1165,1.58,1.11,2.68,1.42,2.53,1.46,1.03,2.49,1.33,2.37,,Brighton and Hove Albion
Illia Zabarnyi,ua UKR,DF,20,37,37,3330,37.0,1,0,1,1,0,0,5,0,1.1,1.1,0.4,1.5,24,109,1,0.03,0.00,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,Matches,Bournemouth
Dominic Solanke,eng ENG,FW,25,38,37,3325,36.9,19,3,22,17,2,3,3,0,19.6,17.2,3.0,20.3,52,60,184,0.51,0.08,0.60,0.46,0.54,0.53,0.08,0.61,0.47,0.55,Matches,Bournemouth
Ryan Christie,sct SCO,MF,28,37,35,2907,32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,60,167,78,0.00,0.15,0.15,0.00,0.15,0.07,0.17,0.24,0.07,0.24,Matches,Bournemouth
Neto,br BRA,GK,34,32,32,2880,32.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Bournemouth
Lewis Cook,eng ENG,MF,26,33,32,2786,31.0,0,3,3,0,0,0,5,1,0.4,0.4,4.3,4.6,22,142,15,0.00,0.10,0.10,0.00,0.10,0.01,0.14,0.15,0.01,0.15,Matches,Bournemouth
Marcos Senesi,ar ARG,DF,26,31,26,2242,24.9,4,5,9,4,0,0,13,0,2.0,2.0,1.7,3.7,31,127,4,0.16,0.20,0.36,0.16,0.36,0.08,0.07,0.15,0.08,0.15,Matches,Bournemouth
Justin Kluivert,nl NED,"MF,FW",24,32,26,1916,21.3,7,1,8,7,0,0,5,0,6.2,6.2,1.9,8.1,65,50,114,0.33,0.05,0.38,0.33,0.38,0.29,0.09,0.38,0.29,0.38,Matches,Bournemouth
Adam Smith,eng ENG,DF,32,28,25,2150,23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,24,89,28,0.00,0.08,0.08,0.00,0.08,0.00,0.05,0.06,0.00,0.06,Matches,Bournemouth
Marcus Tavernier,eng ENG,FW,24,30,25,2118,23.5,3,4,7,3,0,0,3,0,3.9,3.9,5.2,9.1,79,84,171,0.13,0.17,0.30,0.13,0.30,0.17,0.22,0.39,0.17,0.39,Matches,Bournemouth
Antoine Semenyo,gh GHA,FW,23,33,25,2105,23.4,8,2,10,8,0,0,6,0,4.6,4.6,3.2,7.8,89,64,188,0.34,0.09,0.43,0.34,0.43,0.20,0.14,0.34,0.20,0.34,Matches,Bournemouth
Milos Kerkez,hu HUN,DF,19,28,22,1970,21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2.0,46,44,93,0.00,0.05,0.05,0.00,0.05,0.06,0.04,0.09,0.06,0.09,Matches,Bournemouth
Lloyd Kelly,eng ENG,DF,24,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,15,56,28,0.00,0.06,0.06,0.00,0.06,0.02,0.07,0.09,0.02,0.09,Matches,Bournemouth
Philip Billing,dk DEN,MF,27,29,13,1398,15.5,2,2,4,2,0,0,3,1,2.5,2.5,3.2,5.7,22,53,63,0.13,0.13,0.26,0.13,0.26,0.16,0.21,0.36,0.16,0.36,Matches,Bournemouth
Max Aarons,eng ENG,DF,23,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22,43,26,0.00,0.07,0.07,0.00,0.07,0.00,0.06,0.06,0.00,0.06,Matches,Bournemouth
Dango Ouattara,bf BFA,"FW,DF",21,30,12,1229,13.7,1,2,3,1,0,0,3,0,2.6,2.6,1.5,4.1,47,35,90,0.07,0.15,0.22,0.07,0.22,0.19,0.11,0.30,0.19,0.30,Matches,Bournemouth
Alex Scott,eng ENG,MF,19,23,11,1014,11.3,1,1,2,1,0,0,3,0,0.7,0.7,1.7,2.4,24,50,35,0.09,0.09,0.18,0.09,0.18,0.06,0.15,0.22,0.06,0.22,Matches,Bournemouth
Luis Sinisterra,co COL,"FW,MF",24,20,7,699,7.8,2,2,4,2,0,0,0,0,2.5,2.5,2.4,5.0,51,38,85,0.26,0.26,0.52,0.26,0.52,0.33,0.31,0.64,0.33,0.64,Matches,Bournemouth
Chris Mepham,wls WAL,DF,25,10,6,617,6.9,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,4,25,1,0.00,0.15,0.15,0.00,0.15,0.01,0.06,0.07,0.01,0.07,Matches,Bournemouth
Mark Travers,ie IRL,GK,24,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Bournemouth
Joe Rothwell,eng ENG,MF,28,11,3,386,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,20,3,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches,Bournemouth
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,Bournemouth
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Bournemouth
Enes Ünal,tr TUR,"FW,MF",26,16,2,328,3.6,2,2,4,2,0,0,1,0,2.9,2.9,1.0,3.9,4,7,28,0.55,0.55,1.10,0.55,1.10,0.80,0.28,1.07,0.80,1.07,Matches,Bournemouth
David Brooks,wls WAL,"FW,MF",26,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.70,0.33,1.03,0.70,1.03,Matches,Bournemouth
Ionuț Radu,ro ROU,GK,26,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Bournemouth
Jaidon Anthony,eng ENG,FW,23,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,8,9,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,Bournemouth
Tyler Adams,us USA,MF,24,3,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Matches,Bournemouth
James Hill,eng ENG,DF,21,5,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Bournemouth
Kieffer Moore,wls WAL,"FW,MF",30,8,0,108,1.2,1,0,1,1,0,0,0,0,1.5,1.5,0.2,1.7,2,4,15,0.83,0.00,0.83,0.83,0.83,1.23,0.20,1.44,1.23,1.44,Matches,Bournemouth
Hamed Junior Traorè,ci CIV,MF,23,3,0,47,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,3,4,0.00,0.00,0.00,0.00,0.00,0.34,0.07,0.41,0.34,0.41,Matches,Bournemouth
Romain Faivre,fr FRA,"MF,FW",25,5,0,41,0.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,5,4,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches,Bournemouth
